Publication Name,Distribution,Revenue_Stream,State
6AM City Inc,Email,Advertising,SC
6AM City Inc,Social media,Advertising,SC
6AM City Inc,Website,Advertising,SC
Advocate Media - Dallas,Social media,Advertising,TX
Advocate Media - Dallas,Website,Advertising,TX
Atlantafi.com,Social media,Advertising,GA
Atlantafi.com,Website,Advertising,GA
AustinTalks,Print,Other,IL
AustinTalks,Website,Other,IL
BenitoLink,Social media,Institution Funding,CA
BenitoLink,Website,Institution Funding,CA
Bethesda Beat,Social media,Advertising,MD
Bethesda Beat,Third party content platforms,Advertising,MD
Bethesda Beat,Website,Advertising,MD
BK Reader,Social media,Advertising,NY
BK Reader,Website,Advertising,NY
Block Club Chicago,Social media,Audience,IL
Block Club Chicago,Website,Audience,IL
Boston Institute for Nonprofit Journalism,Email,,MA
Boston Institute for Nonprofit Journalism,Events,,MA
Boston Institute for Nonprofit Journalism,Print,,MA
Boston Institute for Nonprofit Journalism,Social media,,MA
Boston Institute for Nonprofit Journalism,Syndicated feed or content partnerships,,MA
Boston Institute for Nonprofit Journalism,Television,,MA
Boston Institute for Nonprofit Journalism,Third party content platforms,,MA
Boston Institute for Nonprofit Journalism,Website,,MA
"Bowie Sun, The",Email,,MD
"Bowie Sun, The",Social media,,MD
"Bowie Sun, The",Third party content platforms,,MD
"Bowie Sun, The",Website,,MD
Bridge,Website,Institution Funding,MI
Bridge,Social media,Institution Funding,MI
Bridge,Third party content platforms,Institution Funding,MI
Bridge,Syndicated feed or content partnerships,Institution Funding,MI
Bushwick Daily,Social media,Advertising,NY
Bushwick Daily,Syndicated feed or content partnerships,Advertising,NY
Bushwick Daily,Third party content platforms,Advertising,NY
Bushwick Daily,Website,Advertising,NY
Carolina Panorama,Website,Advertising,SC
Carolina Panorama,Social media,Advertising,SC
Chalkbeat,Social media,Institution Funding,NY
Chalkbeat,Third party content platforms,Institution Funding,NY
Chalkbeat,Website,Institution Funding,NY
Charlottesville Tomorrow,Website,Individual gifts,VA
Charlottesville Tomorrow,Social media,Individual gifts,VA
Charlottesville Tomorrow,Email,Individual gifts,VA
Chicago Public Square,Email,Individual gifts,IL
Chicago Public Square,Social media,Individual gifts,IL
Chicago Public Square,Website,Individual gifts,IL
ChrisD.ca,Aggregation,Advertising,MB
ChrisD.ca,Email,Advertising,MB
City Limits,Social media,Institution Funding,NY
City Limits,Syndicated feed or content partnerships,Institution Funding,NY
City Limits,Third party content platforms,Institution Funding,NY
City Limits,Website,Institution Funding,NY
Connecticut Health I-Team,Website,Institution Funding,CT
Connecticut Health I-Team,Social media,Institution Funding,CT
Connecticut Health I-Team,Syndicated feed or content partnerships,Institution Funding,CT
Crosscut,Owned and operated mobile app(s),Individual gifts,WA
Crosscut,Radio,Individual gifts,WA
Crosscut,Social media,Individual gifts,WA
Crosscut,Syndicated feed or content partnerships,Individual gifts,WA
Crosscut,Third party content platforms,Individual gifts,WA
Crosscut,Website,Individual gifts,WA
Crosstown,Social media,Institution Funding,CA
Crosstown,Website,Institution Funding,CA
CTNewsJunkie.com,Social media,Advertising,CT
CTNewsJunkie.com,Syndicated feed or content partnerships,Advertising,CT
CTNewsJunkie.com,Third party content platforms,Advertising,CT
CTNewsJunkie.com,Website,Advertising,CT
Delaware Currents,Website,Institution Funding,NY
Delaware Currents,Social media,Institution Funding,NY
Durham Skywriter,Website,Advertising,NC
Durham Skywriter,Social media,Advertising,NC
Durham Skywriter,Third party content platforms,Advertising,NC
East End Taste Magazine,Website,Other,NY
East End Taste Magazine,Social media,Other,NY
El Tímpano,Social media,Institution Funding,CA
El Tímpano,Text,Institution Funding,CA
Enlace Latino NC,Website,Institution Funding,NC
Enlace Latino NC,Social media,Institution Funding,NC
Flint Beat,Website,Institution Funding,MI
Flint Beat,Social media,Institution Funding,MI
Flint Beat,Third party content platforms,Institution Funding,MI
Flint Beat,Syndicated feed or content partnerships,Institution Funding,MI
Foothills Forum,Website,Individual gifts,VA
Foothills Forum,Social media,Individual gifts,VA
Foothills Forum,Print,Individual gifts,VA
Foothills Forum,Email,Individual gifts,VA
Greenpointers,Website,Other,NY
High Ground News,Email,Institution Funding,TN
High Ground News,Social media,Institution Funding,TN
High Ground News,Syndicated feed or content partnerships,Institution Funding,TN
High Ground News,Website,Institution Funding,TN
Homewood-Flossmoor Chronicle,Website,Advertising,IL
